,REGULAR SEASON,,,,,PLAYOFFS,,,,,COMBINED,,,,,
,,,,,,,,,,,,,,,,
,T100,T50,GP,,,T100,T50,GP,,,T100,T50,GP,,RS,PLAYOFFS
,27,13,68,devinbooker,,6,5,20,milroe (o3wn),,22,15,83,vincent_ (vincent),80,3
,23,13,67,cle (grifx),,12,8,20,otf,,43,28,82,iverson,60,22
,25,14,66,clementt (erndog),,6,3,19,ryansc,,16,11,81,hardforbedard,57,24
,23,12,66,baty,,8,6,19,turbo,,26,13,81,cle (grifx),67,14
,19,11,65,bklyn (weaver),,3,3,19,luv (csw) (dos),,18,10,80,turbo,61,19
,10,3,65,brady.richer,,10,7,19,wednesdaychicken,,28,18,80,ryoshi,56,24
,11,5,64,caleb_,,7,5,19,hutchinson (jahmyr) (platinumxi) (carpenters),,10,6,79,dex,68,11
,29,23,64,anonymoususer ,,7,4,19,bohm,,31,19,79,o3wn (milroe),59,20
,26,19,63,ai,,8,4,18,owencooks (realowen),,13,5,78,julius.chestnut,69,9
,25,16,63,ggs (ggramzy),,6,3,18,cinemax,,31,17,78,devinbooker,68,10
,17,14,62,brav0s (bravos) (ssuco),,5,4,18,nyc,,14,7,77,buctober2025 (buc),73,4
,26,15,62,cyl,,9,3,18,swouse,,17,14,75,brav0s (bravos) (ssuco),62,13
,11,7,61,be11o (bello),,8,4,18,clementt (erndog),,33,21,75,coded (strider),39,36
,10,4,61,turbo,,5,4,17,burgerkingjaylen,,27,15,75,ashton (hopkins) (addisonbarger_) (toronto) (destiny) (barnes) (chiles),58,17
,17,7,61,duke (skinny) (angrypup) (flocknation),,3,0,17,pat,,21,13,74,hovey,71,3
,17,8,61,knightnate12,,7,3,17,barger (cadewave) (hopkins) (destiny),,29,14,74,verse (reversethev),60,14
,25,15,61,lamb_,,2,0,17,gschmoney,,16,8,73,poopybuttlover,68,5
,25,8,61,aiden0220,,5,4,17,mccasual (christianmccasual),,29,12,73,zane,60,13
,23,8,60,zane,,7,3,17,corbin (tyus),,21,15,73,giannisisdaddy1,52,21
,15,10,60,nind0 (ted),,7,4,17,notkiddo (kiddo),,21,9,73,knightnate12,61,12
,24,11,60,verse (reversethev),,3,1,16,lubob,,9,4,73,bshumer1,44,29
,35,25,60,iverson,,3,3,16,bamry,,19,8,72,bam,48,24
,13,3,59,devincooker,,4,1,16,marner (stack) (tavares),,41,27,72,zyx,45,27
,25,14,59,o3wn (milroe),,9,3,16,znye,,29,19,72,ggs (ggramzy),63,9
,40,26,59,chittum,,6,3,16,dortch (joshl0202) (dariusgarland),,18,8,72,duke (skinny) (angrypup) (flocknation),61,11
,21,8,58,clutch (giannis),,3,2,16,tjgany,,9,3,72,grizzy,68,4
,20,12,58,ashton (hopkins) (addisonbarger_) (toronto) (destiny) (barnes) (chiles),,3,1,16,four,,29,16,71,cyl,62,9
,8,1,57,croatia,,9,5,16,kenny_wya (timeless),,24,13,71,baty,66,5
,11,6,57,waggnut (🎃),,6,2,16,ottsam,,27,17,71,lamb_,61,10
,11,6,57,hardforbedard,,5,3,15,khabib (demar) (metcalf),,31,17,71,sebas (kyrielover_11),49,22
,22,14,57,cartercrash,,5,2,15,trance (wohlm),,18,6,71,silver (13allard) (longhorns) (bijan),51,20
,15,9,56,grounded (paige) (groundground),,5,2,15,madrid (bellingham),,43,28,71,chittum,59,12
,6,2,56,bigk18,,4,2,15,lehkyforselke,,30,14,69,caustic,55,14
,17,10,56,ryoshi,,4,1,15,shabd,,15,7,68,waggnut (🎃),57,11
,18,8,56,shy (akria) (smiley) (booty) (milos) (zionwilliamson),,4,4,15,zik,,12,8,68,bamry,52,16
,26,16,56,gaston,,1,1,15,bigsnook,,14,7,68,kodyblu31 (judkins) (pnd),54,14
,21,16,56,crogerl,,12,11,15,xpr0gidy,,16,6,68,luhsean56,45,23
,30,18,56,raiola,,10,9,15,lebron23goat6,,32,21,67,zim,43,24
,24,14,55,coby (am) (unrealistics),,1,0,15,crqmer,,33,16,67,otf,47,20
,22,9,55,caustic,,8,2,15,zayo,,31,19,67,norrispaul13,53,14
,8,5,54,uzi (uzi.md) (pavel.buchnevich),,7,4,15,virgil (nick_),,26,15,66,co,46,20
,11,5,54,kodyblu31 (judkins) (pnd),,5,1,15,twistex,,10,3,65,brady.richer,65,
,11,7,53,huts (wrigley),,6,4,14,depressedcardinalsfan,,25,11,65,clutch (giannis),58,7
,26,17,53,norrispaul13,,4,2,14,knicks,,33,20,65,raiola,56,9
,9,5,52,bamry,,4,3,14,dawgsnation,,12,7,64,be11o (bello),61,3
,15,11,52,giannisisdaddy1,,5,3,14,aiden,,20,15,64,jacman17,37,27
,6,3,52,cove (one) (marvin) (timeless) (leclerc) (dreww) (tiedemann) (marte),,3,2,14,pnd (judkins) (kodyblu31),,26,9,64,aiden0220,61,3
,12,7,52,okoro (okorolover355) (iouisss),,5,2,14,norrispaul13,,11,7,63,uzi (uzi.md) (pavel.buchnevich),54,9
,22,9,51,juan.soto22,,4,3,14,bennett,,25,16,63,cartercrash,57,6
,9,6,51,sammy (smartomarcus) (vcanivibe),,5,2,14,murray (pelss),,21,16,63,crogerl,56,7
,13,5,51,silver (13allard) (longhorns) (bijan),,8,5,14,caustic,,28,18,62,gaston,56,6
,9,6,50,cywheela,,5,3,14,verse (reversethev),,34,26,62,psyklone,37,25
,27,22,50,jordancarter,,6,3,14,sports6138,,12,7,61,knicks,47,14
,5,4,50,manoffaith,,3,0,14,cle,,11,8,61,sammy (smartomarcus) (vcanivibe),51,10
,15,8,49,jacksonbynum,,4,2,14,yaxel,,26,16,61,davidv03,40,21
