#,PLAYER,AVERAGE,GEM,T100,T50,GP,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,
100,wulf (heroin),222.1111111,152.17376,3,1,8,216,,436,37,52,,689,186,,166,,,88,,129,
101,shabddd,225.0769231,140.241924,3,2,12,358,,340,,250,282,31,297,56,266,178,283,2,420,163,
102,zik,228.2,146.9531932,4,2,14,110,775,89,234,109,10,184,146,37,473,314,132,62,421,327,
103,o3wn,230.1428571,171.1110675,3,2,13,87,229,128,517,182,256,319,,172,530,47,94,27,435,199,
104,joelembiid,231.7142857,115.6893994,5,3,13,127,205,19,5,323,67,1186,,220,207,364,68,32,107,314,
105,ted (nindo),233.5,191.4379672,1,1,13,58,289,169,295,306,176,420,179,156,,32,546,199,252,192,
106,corbin (tyus),237.125,128.393364,3,2,8,,,,49,,1155,142,124,176,,,43,,136,72,
107,dillon,237.5833333,150.649289,3,1,11,346,339,78,15,246,103,1002,,,104,68,137,160,253,,
108,ai,237.8666667,169.5618041,3,1,14,28,410,171,248,537,91,138,154,44,145,838,275,98,175,216,
109,baty,239.5454545,178.2891042,2,2,10,364,120,519,289,374,195,161,122,50,411,30,,,,,
110,happy,241.875,223.9255324,0,0,8,,,,244,201,107,,,125,,290,300,,362,306,
111,jtfr,242.0833333,97.25441228,4,4,11,10,14,481,192,215,,,226,,405,368,918,35,34,7,
112,turner,248.3571429,157.7827976,2,1,13,24,130,381,277,6,492,156,182,241,158,471,359,538,,62,
113,playexplainer,251.375,223.4058386,0,0,8,,,155,252,149,622,,,215,241,,238,,139,,
114,bohm,255.0666667,148.6776883,4,3,14,194,168,29,38,167,255,1038,373,224,99,120,475,304,337,5,
115,kodyblu31,255.75,168.8152562,3,1,11,589,166,81,728,,220,145,,,137,543,19,115,256,70,
116,knightnate12,258.2666667,168.2768702,4,2,14,118,75,218,57,253,768,405,181,194,14,44,388,667,147,345,
117,zupacam,265.1111111,175.6449108,3,0,8,66,69,86,603,64,,,,708,197,408,185,,,,
118,huts,265.1333333,140.232028,4,3,14,763,128,482,698,620,132,3,286,75,198,42,160,152,217,21,
119,fun,268.3636364,153.066941,3,2,10,96,,13,912,,,241,114,439,302,135,583,48,69,,
120,cbd,270.2307692,158.3460632,3,2,12,40,724,205,295,229,167,,286,161,229,43,,1044,73,17,
121,xo,273.625,191.3383203,2,1,7,279,69,291,33,537,235,124,621,,,,,,,,
122,evan_stewart_ii (killerbees_71),273.7272727,164.4554563,4,1,10,52,167,485,581,80,557,148,64,766,,,,,64,47,
123,prove,274.7857143,181.6567448,4,1,13,691,173,,135,22,913,94,90,457,336,226,58,166,355,131,
124,noir,278.6,227.6169567,1,0,9,216,486,59,618,435,,,127,,,144,,284,191,226,
125,papacoop,280.4285714,112.3568887,3,2,13,1,9,427,129,135,178,302,164,29,531,164,1323,480,,54,
126,trylq,286.5,126.3902111,2,1,7,1108,,,,,,360,,87,,110,155,221,2,249,
127,brandonmiller,286.7333333,203.1741427,2,1,14,28,144,604,35,100,641,323,359,162,189,209,167,769,243,328,
128,fernando (iconic),289.6666667,238.7302533,0,0,11,64,,637,163,353,141,594,340,285,353,228,213,105,,,
129,salty,298.7692308,203.1968381,3,1,12,224,24,372,93,224,167,140,832,266,,136,738,589,,79,
130,bojack,303.7,229.5180563,2,0,9,144,180,79,270,339,,,,637,291,,,78,178,841,
